"Population by disability type","Number"
"Blind/low vision",""
"Female","32"
"Male","33"
"","65"
"Deaf/hard of hearing",""
"Female","26"
"Male","24"
"","50"
"Deaf-Blind",""
"Female","6"
"Male","8"
"","14"
"Intellectual disable",""
"Female","11"
"Male","9"
"","20"
"Mental disable",""
"Female","13"
"Male","13"
"","26"
"Multiple disable",""
"Female","19"
"Male","14"
"","33"
"No disability",""
"Female","15025"
"Male","13323"
"","28348"
"Physical",""
"Female","49"
"Male","67"
"","116"
"Speech problem",""
"Female","34"
"Male","40"
"","74"
