"Population by disability type","Number"
"Blind/low vision",""
"Female","42"
"Male","54"
"","96"
"Deaf/hard of hearing",""
"Female","50"
"Male","45"
"","95"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","13"
"Male","13"
"","26"
"Mental disable",""
"Female","19"
"Male","25"
"","44"
"Multiple disable",""
"Female","55"
"Male","47"
"","102"
"No disability",""
"Female","15307"
"Male","12964"
"","28271"
"Physical",""
"Female","90"
"Male","129"
"","219"
"Speech problem",""
"Female","34"
"Male","38"
"","72"
