"Population by Educational Attainment","Number"
"Beginners",""
"Female","381"
"Male","458"
"","839"
"Graduate and Equivalent",""
"Female","75"
"Male","146"
"","221"
"Intermediate and Equivalent",""
"Female","391"
"Male","498"
"","889"
"Level not Stated",""
"Female","17"
"Male","13"
"","30"
"Lower Secondary (Class 6-8)",""
"Female","2226"
"Male","2034"
"","4260"
"Non Formal Education",""
"Female","669"
"Male","788"
"","1457"
"Others",""
"Female","0"
"Male","0"
"","0"
"Post Graduate Equivalent and Above",""
"Female","13"
"Male","43"
"","56"
"Primary Education (1-5 Class)",""
"Female","2976"
"Male","3288"
"","6264"
"Secondary Level (Class 9-10)",""
"Female","1912"
"Male","1568"
"","3480"
"SLC and Equivalent",""
"Female","1115"
"Male","1039"
"","2154"
