"Population by disability type","Number"
"Blind/low vision",""
"Female","82"
"Male","95"
"","177"
"Deaf/hard of hearing",""
"Female","71"
"Male","92"
"","163"
"Deaf-Blind",""
"Female","7"
"Male","7"
"","14"
"Intellectual disable",""
"Female","34"
"Male","45"
"","79"
"Mental disable",""
"Female","65"
"Male","84"
"","149"
"Multiple disable",""
"Female","40"
"Male","57"
"","97"
"No disability",""
"Female","67580"
"Male","70119"
"","137699"
"Physical",""
"Female","153"
"Male","300"
"","453"
"Speech problem",""
"Female","42"
"Male","78"
"","120"
