"Population by disability type","Number"
"Blind/low vision",""
"Female","43"
"Male","64"
"","107"
"Deaf/hard of hearing",""
"Female","47"
"Male","50"
"","97"
"Deaf-Blind",""
"Female","5"
"Male","5"
"","10"
"Intellectual disable",""
"Female","7"
"Male","10"
"","17"
"Mental disable",""
"Female","33"
"Male","35"
"","68"
"Multiple disable",""
"Female","19"
"Male","39"
"","58"
"No disability",""
"Female","18037"
"Male","13236"
"","31273"
"Physical",""
"Female","135"
"Male","190"
"","325"
"Speech problem",""
"Female","44"
"Male","47"
"","91"
