"Population by Educational Attainment","Number"
"Beginners",""
"Female","413"
"Male","473"
"","886"
"Graduate and Equivalent",""
"Female","38"
"Male","163"
"","201"
"Intermediate and Equivalent",""
"Female","437"
"Male","592"
"","1029"
"Level not Stated",""
"Female","150"
"Male","153"
"","303"
"Lower Secondary (Class 6-8)",""
"Female","2243"
"Male","2726"
"","4969"
"Non Formal Education",""
"Female","798"
"Male","878"
"","1676"
"Others",""
"Female","6"
"Male","14"
"","20"
"Post Graduate Equivalent and Above",""
"Female","12"
"Male","76"
"","88"
"Primary Education (1-5 Class)",""
"Female","5397"
"Male","6358"
"","11755"
"Secondary Level (Class 9-10)",""
"Female","1085"
"Male","1483"
"","2568"
"SLC and Equivalent",""
"Female","730"
"Male","1023"
"","1753"
