"Population by disability type","Number"
"Blind/low vision",""
"Female","79"
"Male","95"
"","174"
"Deaf/hard of hearing",""
"Female","53"
"Male","61"
"","114"
"Deaf-Blind",""
"Female","3"
"Male","11"
"","14"
"Intellectual disable",""
"Female","5"
"Male","10"
"","15"
"Mental disable",""
"Female","23"
"Male","26"
"","49"
"Multiple disable",""
"Female","29"
"Male","35"
"","64"
"No disability",""
"Female","23214"
"Male","21212"
"","44426"
"Physical",""
"Female","155"
"Male","219"
"","374"
"Speech problem",""
"Female","53"
"Male","60"
"","113"
