"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","9"
"Male","10"
"Baraee",""
"Female","75"
"Male","81"
"Bin",""
"Female","52"
"Male","61"
"Brahman - Hill",""
"Female","1026"
"Male","915"
"Brahman - Tarai",""
"Female","117"
"Male","116"
"Chamar/ Harijan/ Ram",""
"Female","1647"
"Male","1739"
"Chhetri",""
"Female","566"
"Male","556"
"Damai/Dholi",""
"Female","37"
"Male","33"
"Dhanuk",""
"Female","373"
"Male","384"
"Dhobi",""
"Female","497"
"Male","547"
"Dom",""
"Female","59"
"Male","63"
"Dusadh/ Pasawan/ Pasi",""
"Female","621"
"Male","609"
"Ghale",""
"Female","22"
"Male","24"
"Gharti/Bhujel",""
"Female","14"
"Male","19"
"Gurung",""
"Female","77"
"Male","72"
"Hajam/Thakur",""
"Female","124"
"Male","130"
"Jhangad/ Dhagar",""
"Female","255"
"Male","245"
"Kalwar",""
"Female","102"
"Male","90"
"Kami",""
"Female","91"
"Male","101"
"Kanu",""
"Female","204"
"Male","225"
"Kathabaniyan",""
"Female","30"
"Male","44"
"Kayastha",""
"Female","15"
"Male","18"
"Koiri/Kushwaha",""
"Female","66"
"Male","89"
"Kumhar",""
"Female","113"
"Male","112"
"Kurmi",""
"Female","767"
"Male","829"
"Limbu",""
"Female","14"
"Male","12"
"Lohar",""
"Female","115"
"Male","121"
"Magar",""
"Female","119"
"Male","91"
"Majhi",""
"Female","16"
"Male","11"
"Mali",""
"Female","16"
"Male","20"
"Mallaha",""
"Female","731"
"Male","726"
"Musahar",""
"Female","1131"
"Male","1147"
"Musalman",""
"Female","1706"
"Male","1796"
"Natuwa",""
"Female","15"
"Male","13"
"Newar",""
"Female","151"
"Male","169"
"Nuniya",""
"Female","144"
"Male","163"
"Others",""
"Female","24"
"Male","11"
"Rai",""
"Female","9"
"Male","7"
"Rajbhar",""
"Female","59"
"Male","64"
"Rajput",""
"Female","8"
"Male","8"
"Sanyasi/Dasnami",""
"Female","97"
"Male","93"
"Sarki",""
"Female","64"
"Male","62"
"Sonar",""
"Female","27"
"Male","22"
"Tamang",""
"Female","907"
"Male","877"
"Tatma/Tatwa",""
"Female","69"
"Male","62"
"Teli",""
"Female","406"
"Male","454"
"Terai Others",""
"Female","42"
"Male","39"
"Tharu",""
"Female","4499"
"Male","4548"
"Yadav",""
"Female","1674"
"Male","1875"
"Yakkha",""
"Female","45"
"Male","57"
