"Population by Educational Attainment","Number"
"Beginners",""
"Female","119"
"Male","109"
"Graduate and Equivalent",""
"Female","11"
"Male","33"
"Intermediate and Equivalent",""
"Female","63"
"Male","72"
"Level not Stated",""
"Female","6"
"Male","7"
"Lower Secondary (Class 6-8)",""
"Female","694"
"Male","696"
"Non Formal Education",""
"Female","317"
"Male","221"
"Others",""
"Female","3"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","5"
"Primary Education (1-5 Class)",""
"Female","1346"
"Male","1471"
"Secondary Level (Class 9-10)",""
"Female","221"
"Male","233"
"SLC and Equivalent",""
"Female","142"
"Male","231"
