"Population by Educational Attainment","Number"
"Beginners",""
"Female","108"
"Male","120"
"","228"
"Graduate and Equivalent",""
"Female","27"
"Male","73"
"","100"
"Intermediate and Equivalent",""
"Female","125"
"Male","168"
"","293"
"Level not Stated",""
"Female","14"
"Male","32"
"","46"
"Lower Secondary (Class 6-8)",""
"Female","1514"
"Male","1358"
"","2872"
"Non Formal Education",""
"Female","174"
"Male","313"
"","487"
"Others",""
"Female","4"
"Male","14"
"","18"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","20"
"","20"
"Primary Education (1-5 Class)",""
"Female","2008"
"Male","2161"
"","4169"
"Secondary Level (Class 9-10)",""
"Female","820"
"Male","906"
"","1726"
"SLC and Equivalent",""
"Female","916"
"Male","892"
"","1808"
