"Population by disability type","Number"
"Blind/low vision",""
"Female","39"
"Male","36"
"","75"
"Deaf/hard of hearing",""
"Female","35"
"Male","41"
"","76"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","4"
"Male","4"
"","8"
"Mental disable",""
"Female","16"
"Male","20"
"","36"
"Multiple disable",""
"Female","19"
"Male","16"
"","35"
"No disability",""
"Female","9377"
"Male","7885"
"","17262"
"Physical",""
"Female","72"
"Male","92"
"","164"
"Speech problem",""
"Female","14"
"Male","24"
"","38"
