"Population by disability type","Number"
"Blind/low vision",""
"Female","61"
"Male","59"
"","120"
"Deaf/hard of hearing",""
"Female","122"
"Male","105"
"","227"
"Deaf-Blind",""
"Female","4"
"Male","2"
"","6"
"Intellectual disable",""
"Female","11"
"Male","12"
"","23"
"Mental disable",""
"Female","12"
"Male","17"
"","29"
"Multiple disable",""
"Female","67"
"Male","93"
"","160"
"No disability",""
"Female","7333"
"Male","5899"
"","13232"
"Physical",""
"Female","89"
"Male","106"
"","195"
"Speech problem",""
"Female","71"
"Male","41"
"","112"
