"Population by Educational Attainment","Number"
"Beginners",""
"Female","630"
"Male","716"
"Graduate and Equivalent",""
"Female","53"
"Male","130"
"Intermediate and Equivalent",""
"Female","197"
"Male","406"
"Level not Stated",""
"Female","30"
"Male","24"
"Lower Secondary (Class 6-8)",""
"Female","2089"
"Male","2667"
"Non Formal Education",""
"Female","730"
"Male","391"
"Others",""
"Female","10"
"Male","14"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","22"
"Primary Education (1-5 Class)",""
"Female","3902"
"Male","4946"
"Secondary Level (Class 9-10)",""
"Female","976"
"Male","1449"
"SLC and Equivalent",""
"Female","620"
"Male","1006"
