"Population by disability type","Number"
"Blind/low vision",""
"Female","61"
"Male","55"
"","116"
"Deaf/hard of hearing",""
"Female","21"
"Male","12"
"","33"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","5"
"Male","5"
"","10"
"Mental disable",""
"Female","5"
"Male","9"
"","14"
"Multiple disable",""
"Female","3"
"Male","8"
"","11"
"No disability",""
"Female","9594"
"Male","10031"
"","19625"
"Physical",""
"Female","20"
"Male","56"
"","76"
"Speech problem",""
"Female","8"
"Male","14"
"","22"
