"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","22"
"Male","20"
"Bantaba",""
"Female","6"
"Male","7"
"Brahman - Hill",""
"Female","2874"
"Male","2277"
"Brahman - Tarai",""
"Female","20"
"Male","14"
"Chhetri",""
"Female","1141"
"Male","863"
"Damai/Dholi",""
"Female","447"
"Male","378"
"Dhanuk",""
"Female","5"
"Male","7"
"Dhimal",""
"Female","7"
"Male","5"
"Gharti/Bhujel",""
"Female","99"
"Male","73"
"Gurung",""
"Female","70"
"Male","58"
"Hajam/Thakur",""
"Female","11"
"Male","11"
"Halwai",""
"Female","37"
"Male","35"
"Kami",""
"Female","803"
"Male","660"
"Limbu",""
"Female","3530"
"Male","2883"
"Magar",""
"Female","2667"
"Male","2118"
"Majhi",""
"Female","60"
"Male","54"
"Musalman",""
"Female","44"
"Male","57"
"Newar",""
"Female","667"
"Male","554"
"Others",""
"Female","73"
"Male","66"
"Pattharkatta/ Kushwadiya",""
"Female","6"
"Male","6"
"Rai",""
"Female","3560"
"Male","2947"
"Rajbansi",""
"Female","11"
"Male","14"
"Sanyasi/Dasnami",""
"Female","36"
"Male","33"
"Sarki",""
"Female","187"
"Male","151"
"Sherpa",""
"Female","8"
"Male","13"
"Tamang",""
"Female","1043"
"Male","822"
"Teli",""
"Female","41"
"Male","45"
"Thakuri",""
"Female","131"
"Male","95"
"Tharu",""
"Female","35"
"Male","33"
"Undefined Others",""
"Female","36"
"Male","30"
"Yadav",""
"Female","5"
"Male","6"
"Yakkha",""
"Female","21"
"Male","15"
