"Population by disability type","Number"
"Blind/low vision",""
"Female","335"
"Male","287"
"","622"
"Deaf/hard of hearing",""
"Female","510"
"Male","534"
"","1044"
"Deaf-Blind",""
"Female","45"
"Male","43"
"","88"
"Intellectual disable",""
"Female","81"
"Male","76"
"","157"
"Mental disable",""
"Female","98"
"Male","122"
"","220"
"Multiple disable",""
"Female","233"
"Male","257"
"","490"
"No disability",""
"Female","89443"
"Male","71967"
"","161410"
"Physical",""
"Female","566"
"Male","768"
"","1334"
"Speech problem",""
"Female","344"
"Male","441"
"","785"
