"Population by disability type","Number"
"Blind/low vision",""
"Female","47"
"Male","46"
"","93"
"Deaf/hard of hearing",""
"Female","70"
"Male","74"
"","144"
"Deaf-Blind",""
"Female","4"
"Male","5"
"","9"
"Intellectual disable",""
"Female","11"
"Male","11"
"","22"
"Mental disable",""
"Female","16"
"Male","19"
"","35"
"Multiple disable",""
"Female","45"
"Male","46"
"","91"
"No disability",""
"Female","13110"
"Male","10924"
"","24034"
"Physical",""
"Female","117"
"Male","143"
"","260"
"Speech problem",""
"Female","43"
"Male","69"
"","112"
