"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","26"
"","48"
"Deaf/hard of hearing",""
"Female","26"
"Male","20"
"","46"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","6"
"Male","8"
"","14"
"Mental disable",""
"Female","9"
"Male","9"
"","18"
"Multiple disable",""
"Female","17"
"Male","10"
"","27"
"No disability",""
"Female","8457"
"Male","7336"
"","15793"
"Physical",""
"Female","55"
"Male","76"
"","131"
"Speech problem",""
"Female","20"
"Male","28"
"","48"
