"Population by Educational Attainment","Number"
"Beginners",""
"Female","866"
"Male","1091"
"","1957"
"Graduate and Equivalent",""
"Female","799"
"Male","1596"
"","2395"
"Intermediate and Equivalent",""
"Female","2296"
"Male","2781"
"","5077"
"Level not Stated",""
"Female","31"
"Male","47"
"","78"
"Lower Secondary (Class 6-8)",""
"Female","6077"
"Male","6067"
"","12144"
"Non Formal Education",""
"Female","994"
"Male","1008"
"","2002"
"Others",""
"Female","3"
"Male","3"
"","6"
"Post Graduate Equivalent and Above",""
"Female","159"
"Male","542"
"","701"
"Primary Education (1-5 Class)",""
"Female","8508"
"Male","9376"
"","17884"
"Secondary Level (Class 9-10)",""
"Female","4915"
"Male","4464"
"","9379"
"SLC and Equivalent",""
"Female","4414"
"Male","4270"
"","8684"
