"Population by disability type","Number"
"Blind/low vision",""
"Female","71"
"Male","79"
"","150"
"Deaf/hard of hearing",""
"Female","71"
"Male","67"
"","138"
"Deaf-Blind",""
"Female","2"
"Male","6"
"","8"
"Intellectual disable",""
"Female","19"
"Male","20"
"","39"
"Mental disable",""
"Female","50"
"Male","51"
"","101"
"Multiple disable",""
"Female","40"
"Male","46"
"","86"
"No disability",""
"Female","41620"
"Male","39147"
"","80767"
"Physical",""
"Female","184"
"Male","256"
"","440"
"Speech problem",""
"Female","73"
"Male","76"
"","149"
