"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","62"
"Male","38"
"Bangali",""
"Female","18"
"Male","17"
"Brahman - Hill",""
"Female","2627"
"Male","2260"
"Chhetri",""
"Female","2637"
"Male","2125"
"Dalit Others",""
"Female","72"
"Male","53"
"Damai/Dholi",""
"Female","514"
"Male","373"
"Gurung",""
"Female","16"
"Male","13"
"Hajam/Thakur",""
"Female","13"
"Male","9"
"Kami",""
"Female","2295"
"Male","1767"
"Kayastha",""
"Female","6"
"Male","9"
"Kumal",""
"Female","16"
"Male","12"
"Kurmi",""
"Female","10"
"Male","11"
"Lohar",""
"Female","380"
"Male","271"
"Magar",""
"Female","444"
"Male","393"
"Musalman",""
"Female","178"
"Male","152"
"Newar",""
"Female","16"
"Male","10"
"Others",""
"Female","52"
"Male","34"
"Sanyasi/Dasnami",""
"Female","220"
"Male","174"
"Sarki",""
"Female","205"
"Male","153"
"Tamang",""
"Female","14"
"Male","2"
"Teli",""
"Female","12"
"Male","13"
"Terai Others",""
"Female","17"
"Male","9"
"Thakuri",""
"Female","802"
"Male","699"
"Tharu",""
"Female","14958"
"Male","14359"
