"Population by Single Year of Age","Number"
"0",""
"Female","380"
"Male","406"
"1",""
"Female","369"
"Male","369"
"10",""
"Female","708"
"Male","671"
"11",""
"Female","556"
"Male","575"
"12",""
"Female","743"
"Male","798"
"13",""
"Female","661"
"Male","634"
"14",""
"Female","694"
"Male","675"
"15",""
"Female","653"
"Male","645"
"16",""
"Female","739"
"Male","650"
"17",""
"Female","542"
"Male","468"
"18",""
"Female","844"
"Male","671"
"19",""
"Female","426"
"Male","369"
"2",""
"Female","464"
"Male","445"
"20",""
"Female","841"
"Male","561"
"21",""
"Female","440"
"Male","315"
"22",""
"Female","655"
"Male","486"
"23",""
"Female","452"
"Male","367"
"24",""
"Female","468"
"Male","317"
"25",""
"Female","721"
"Male","558"
"26",""
"Female","439"
"Male","380"
"27",""
"Female","328"
"Male","319"
"28",""
"Female","526"
"Male","474"
"29",""
"Female","240"
"Male","185"
"3",""
"Female","453"
"Male","476"
"30",""
"Female","710"
"Male","522"
"31",""
"Female","181"
"Male","166"
"32",""
"Female","402"
"Male","335"
"33",""
"Female","234"
"Male","161"
"34",""
"Female","253"
"Male","200"
"35",""
"Female","732"
"Male","580"
"36",""
"Female","251"
"Male","261"
"37",""
"Female","173"
"Male","158"
"38",""
"Female","323"
"Male","267"
"39",""
"Female","159"
"Male","131"
"4",""
"Female","491"
"Male","521"
"40",""
"Female","629"
"Male","517"
"41",""
"Female","145"
"Male","145"
"42",""
"Female","220"
"Male","213"
"43",""
"Female","176"
"Male","109"
"44",""
"Female","130"
"Male","103"
"45",""
"Female","522"
"Male","489"
"46",""
"Female","145"
"Male","130"
"47",""
"Female","107"
"Male","89"
"48",""
"Female","176"
"Male","155"
"49",""
"Female","88"
"Male","74"
"5",""
"Female","546"
"Male","553"
"50",""
"Female","374"
"Male","345"
"51",""
"Female","90"
"Male","104"
"52",""
"Female","129"
"Male","104"
"53",""
"Female","62"
"Male","60"
"54",""
"Female","85"
"Male","65"
"55",""
"Female","316"
"Male","286"
"56",""
"Female","109"
"Male","92"
"57",""
"Female","63"
"Male","73"
"58",""
"Female","130"
"Male","121"
"59",""
"Female","70"
"Male","76"
"6",""
"Female","496"
"Male","568"
"60",""
"Female","411"
"Male","337"
"61",""
"Female","104"
"Male","63"
"62",""
"Female","98"
"Male","77"
"63",""
"Female","62"
"Male","50"
"64",""
"Female","57"
"Male","63"
"65",""
"Female","299"
"Male","220"
"66",""
"Female","52"
"Male","55"
"67",""
"Female","57"
"Male","60"
"68",""
"Female","97"
"Male","88"
"69",""
"Female","49"
"Male","47"
"7",""
"Female","543"
"Male","558"
"70",""
"Female","218"
"Male","184"
"71",""
"Female","41"
"Male","43"
"72",""
"Female","37"
"Male","55"
"73",""
"Female","20"
"Male","26"
"74",""
"Female","20"
"Male","24"
"75",""
"Female","88"
"Male","80"
"76",""
"Female","17"
"Male","28"
"77",""
"Female","12"
"Male","24"
"78",""
"Female","13"
"Male","33"
"79",""
"Female","11"
"Male","12"
"8",""
"Female","593"
"Male","596"
"80",""
"Female","46"
"Male","55"
"81",""
"Female","4"
"Male","9"
"82",""
"Female","17"
"Male","9"
"83",""
"Female","10"
"Male","14"
"84",""
"Female","6"
"Male","11"
"85",""
"Female","59"
"Male","50"
"9",""
"Female","484"
"Male","498"
