"Population by disability type","Number"
"Blind/low vision",""
"Female","16"
"Male","33"
"","49"
"Deaf/hard of hearing",""
"Female","39"
"Male","42"
"","81"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","7"
"Male","5"
"","12"
"Mental disable",""
"Female","8"
"Male","12"
"","20"
"Multiple disable",""
"Female","16"
"Male","20"
"","36"
"No disability",""
"Female","8481"
"Male","7272"
"","15753"
"Physical",""
"Female","41"
"Male","64"
"","105"
"Speech problem",""
"Female","36"
"Male","34"
"","70"
