"Population by Educational Attainment","Number"
"Beginners",""
"Female","161"
"Male","217"
"","378"
"Graduate and Equivalent",""
"Female","16"
"Male","49"
"","65"
"Intermediate and Equivalent",""
"Female","77"
"Male","102"
"","179"
"Level not Stated",""
"Female","27"
"Male","20"
"","47"
"Lower Secondary (Class 6-8)",""
"Female","1006"
"Male","1022"
"","2028"
"Non Formal Education",""
"Female","387"
"Male","337"
"","724"
"Others",""
"Female","1"
"Male","2"
"","3"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","38"
"","40"
"Primary Education (1-5 Class)",""
"Female","2565"
"Male","2735"
"","5300"
"Secondary Level (Class 9-10)",""
"Female","379"
"Male","453"
"","832"
"SLC and Equivalent",""
"Female","200"
"Male","271"
"","471"
