"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","36"
"","64"
"Deaf/hard of hearing",""
"Female","28"
"Male","25"
"","53"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","2"
"Male","5"
"","7"
"Mental disable",""
"Female","13"
"Male","12"
"","25"
"Multiple disable",""
"Female","12"
"Male","12"
"","24"
"No disability",""
"Female","12843"
"Male","12165"
"","25008"
"Physical",""
"Female","43"
"Male","66"
"","109"
"Speech problem",""
"Female","19"
"Male","19"
"","38"
