"Population by Mother tongue","Number"
"Bajjika",""
"Female","12"
"Male","15"
"Bangla",""
"Female","10"
"Male","29"
"Bhojpuri",""
"Female","100"
"Male","119"
"Doteli",""
"Female","65"
"Male","77"
"Gurung",""
"Female","27"
"Male","16"
"Hindi",""
"Female","236"
"Male","239"
"Lhomi",""
"Female","21"
"Male","11"
"Limbu",""
"Female","17"
"Male","20"
"Magahi",""
"Female","2254"
"Male","2291"
"Magar",""
"Female","20"
"Male","19"
"Maithili",""
"Female","67900"
"Male","74192"
"Meche",""
"Female","66"
"Male","64"
"Nepali",""
"Female","2259"
"Male","2283"
"Newar",""
"Female","197"
"Male","193"
"Not Reported",""
"Female","454"
"Male","455"
"Others",""
"Female","29"
"Male","33"
"Rai",""
"Female","30"
"Male","19"
"Rajsthani",""
"Female","278"
"Male","292"
"Sherpa",""
"Female","8"
"Male","5"
"Sunuwar",""
"Female","106"
"Male","104"
"Tamang",""
"Female","88"
"Male","77"
"Tharu",""
"Female","56"
"Male","44"
"Urdu",""
"Female","3623"
"Male","3653"
"Yakkha",""
"Female","40"
"Male","26"
