"Population by Educational Attainment","Number"
"Beginners",""
"Female","2216"
"Male","2411"
"Graduate and Equivalent",""
"Female","91"
"Male","519"
"Intermediate and Equivalent",""
"Female","714"
"Male","2131"
"Level not Stated",""
"Female","134"
"Male","145"
"Lower Secondary (Class 6-8)",""
"Female","4748"
"Male","8295"
"Non Formal Education",""
"Female","1357"
"Male","1587"
"Others",""
"Female","18"
"Male","45"
"Post Graduate Equivalent and Above",""
"Female","7"
"Male","104"
"Primary Education (1-5 Class)",""
"Female","16060"
"Male","18405"
"Secondary Level (Class 9-10)",""
"Female","1665"
"Male","3896"
"SLC and Equivalent",""
"Female","1112"
"Male","3182"
