"Population by Educational Attainment","Number"
"Beginners",""
"Female","297"
"Male","326"
"Graduate and Equivalent",""
"Female","145"
"Male","327"
"Intermediate and Equivalent",""
"Female","531"
"Male","584"
"Level not Stated",""
"Female","20"
"Male","26"
"Lower Secondary (Class 6-8)",""
"Female","1286"
"Male","1745"
"Non Formal Education",""
"Female","121"
"Male","84"
"Others",""
"Female","11"
"Male","10"
"Post Graduate Equivalent and Above",""
"Female","35"
"Male","126"
"Primary Education (1-5 Class)",""
"Female","2577"
"Male","2759"
"Secondary Level (Class 9-10)",""
"Female","760"
"Male","1064"
"SLC and Equivalent",""
"Female","600"
"Male","814"
