"Population by disability type","Number"
"Blind/low vision",""
"Female","55"
"Male","70"
"","125"
"Deaf/hard of hearing",""
"Female","48"
"Male","47"
"","95"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","8"
"Male","10"
"","18"
"Mental disable",""
"Female","27"
"Male","26"
"","53"
"Multiple disable",""
"Female","25"
"Male","21"
"","46"
"No disability",""
"Female","20531"
"Male","18329"
"","38860"
"Physical",""
"Female","103"
"Male","161"
"","264"
"Speech problem",""
"Female","33"
"Male","42"
"","75"
