"Population by Single Year of Age","Number"
"0",""
"Female","508"
"Male","507"
"1",""
"Female","257"
"Male","321"
"10",""
"Female","959"
"Male","1016"
"11",""
"Female","387"
"Male","326"
"12",""
"Female","714"
"Male","785"
"13",""
"Female","374"
"Male","390"
"14",""
"Female","462"
"Male","490"
"15",""
"Female","446"
"Male","540"
"16",""
"Female","496"
"Male","521"
"17",""
"Female","266"
"Male","257"
"18",""
"Female","497"
"Male","556"
"19",""
"Female","145"
"Male","184"
"2",""
"Female","562"
"Male","566"
"20",""
"Female","668"
"Male","626"
"21",""
"Female","146"
"Male","134"
"22",""
"Female","358"
"Male","388"
"23",""
"Female","300"
"Male","164"
"24",""
"Female","192"
"Male","155"
"25",""
"Female","710"
"Male","707"
"26",""
"Female","190"
"Male","184"
"27",""
"Female","148"
"Male","172"
"28",""
"Female","472"
"Male","362"
"29",""
"Female","89"
"Male","98"
"3",""
"Female","603"
"Male","652"
"30",""
"Female","795"
"Male","777"
"31",""
"Female","70"
"Male","69"
"32",""
"Female","298"
"Male","286"
"33",""
"Female","186"
"Male","85"
"34",""
"Female","132"
"Male","86"
"35",""
"Female","669"
"Male","869"
"36",""
"Female","139"
"Male","159"
"37",""
"Female","84"
"Male","91"
"38",""
"Female","338"
"Male","204"
"39",""
"Female","45"
"Male","60"
"4",""
"Female","575"
"Male","603"
"40",""
"Female","672"
"Male","836"
"41",""
"Female","46"
"Male","38"
"42",""
"Female","183"
"Male","175"
"43",""
"Female","106"
"Male","66"
"44",""
"Female","66"
"Male","63"
"45",""
"Female","517"
"Male","703"
"46",""
"Female","86"
"Male","90"
"47",""
"Female","34"
"Male","71"
"48",""
"Female","165"
"Male","131"
"49",""
"Female","30"
"Male","27"
"5",""
"Female","704"
"Male","832"
"50",""
"Female","356"
"Male","557"
"51",""
"Female","18"
"Male","21"
"52",""
"Female","79"
"Male","76"
"53",""
"Female","52"
"Male","17"
"54",""
"Female","35"
"Male","26"
"55",""
"Female","313"
"Male","366"
"56",""
"Female","23"
"Male","51"
"57",""
"Female","35"
"Male","33"
"58",""
"Female","148"
"Male","68"
"59",""
"Female","20"
"Male","19"
"6",""
"Female","672"
"Male","672"
"60",""
"Female","414"
"Male","499"
"61",""
"Female","14"
"Male","26"
"62",""
"Female","83"
"Male","57"
"63",""
"Female","57"
"Male","18"
"64",""
"Female","18"
"Male","14"
"65",""
"Female","316"
"Male","324"
"66",""
"Female","27"
"Male","28"
"67",""
"Female","19"
"Male","24"
"68",""
"Female","80"
"Male","79"
"69",""
"Female","17"
"Male","26"
"7",""
"Female","502"
"Male","574"
"70",""
"Female","233"
"Male","300"
"71",""
"Female","17"
"Male","15"
"72",""
"Female","33"
"Male","35"
"73",""
"Female","8"
"Male","16"
"74",""
"Female","5"
"Male","6"
"75",""
"Female","103"
"Male","102"
"76",""
"Female","9"
"Male","8"
"77",""
"Female","6"
"Male","3"
"78",""
"Female","11"
"Male","15"
"79",""
"Female","4"
"Male","4"
"8",""
"Female","820"
"Male","865"
"80",""
"Female","54"
"Male","65"
"81",""
"Female","0"
"Male","1"
"82",""
"Female","2"
"Male","6"
"83",""
"Female","0"
"Male","1"
"84",""
"Female","1"
"Male","0"
"85",""
"Female","40"
"Male","35"
"9",""
"Female","391"
"Male","372"
