"Population by disability type","Number"
"Blind/low vision",""
"Female","479"
"Male","472"
"","951"
"Deaf/hard of hearing",""
"Female","380"
"Male","353"
"","733"
"Deaf-Blind",""
"Female","31"
"Male","41"
"","72"
"Intellectual disable",""
"Female","90"
"Male","117"
"","207"
"Mental disable",""
"Female","217"
"Male","250"
"","467"
"Multiple disable",""
"Female","193"
"Male","255"
"","448"
"No disability",""
"Female","160648"
"Male","121745"
"","282393"
"Physical",""
"Female","843"
"Male","1247"
"","2090"
"Speech problem",""
"Female","348"
"Male","391"
"","739"
