"Population by Educational Attainment","Number"
"Beginners",""
"Female","2393"
"Male","2708"
"","5101"
"Graduate and Equivalent",""
"Female","1294"
"Male","2228"
"","3522"
"Intermediate and Equivalent",""
"Female","5362"
"Male","5082"
"","10444"
"Level not Stated",""
"Female","301"
"Male","254"
"","555"
"Lower Secondary (Class 6-8)",""
"Female","26679"
"Male","21258"
"","47937"
"Non Formal Education",""
"Female","6726"
"Male","5751"
"","12477"
"Others",""
"Female","63"
"Male","62"
"","125"
"Post Graduate Equivalent and Above",""
"Female","165"
"Male","928"
"","1093"
"Primary Education (1-5 Class)",""
"Female","36415"
"Male","34453"
"","70868"
"Secondary Level (Class 9-10)",""
"Female","16722"
"Male","14322"
"","31044"
"SLC and Equivalent",""
"Female","10392"
"Male","10695"
"","21087"
