"Population by disability type","Number"
"Blind/low vision",""
"Female","26"
"Male","23"
"","49"
"Deaf/hard of hearing",""
"Female","45"
"Male","50"
"","95"
"Deaf-Blind",""
"Female","4"
"Male","3"
"","7"
"Intellectual disable",""
"Female","5"
"Male","10"
"","15"
"Mental disable",""
"Female","6"
"Male","4"
"","10"
"Multiple disable",""
"Female","7"
"Male","10"
"","17"
"No disability",""
"Female","5807"
"Male","4867"
"","10674"
"Physical",""
"Female","32"
"Male","40"
"","72"
"Speech problem",""
"Female","23"
"Male","13"
"","36"
