"Population by Educational Attainment","Number"
"Beginners",""
"Female","91"
"Male","103"
"","194"
"Graduate and Equivalent",""
"Female","5"
"Male","23"
"","28"
"Intermediate and Equivalent",""
"Female","72"
"Male","97"
"","169"
"Level not Stated",""
"Female","9"
"Male","13"
"","22"
"Lower Secondary (Class 6-8)",""
"Female","754"
"Male","811"
"","1565"
"Non Formal Education",""
"Female","240"
"Male","219"
"","459"
"Others",""
"Female","3"
"Male","4"
"","7"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","5"
"","6"
"Primary Education (1-5 Class)",""
"Female","1473"
"Male","1512"
"","2985"
"Secondary Level (Class 9-10)",""
"Female","254"
"Male","303"
"","557"
"SLC and Equivalent",""
"Female","182"
"Male","272"
"","454"
