"Population by disability type","Number"
"Blind/low vision",""
"Female","95"
"Male","94"
"","189"
"Deaf/hard of hearing",""
"Female","69"
"Male","57"
"","126"
"Deaf-Blind",""
"Female","2"
"Male","1"
"","3"
"Intellectual disable",""
"Female","2"
"Male","3"
"","5"
"Mental disable",""
"Female","8"
"Male","28"
"","36"
"Multiple disable",""
"Female","32"
"Male","31"
"","63"
"No disability",""
"Female","16684"
"Male","15252"
"","31936"
"Physical",""
"Female","97"
"Male","145"
"","242"
"Speech problem",""
"Female","41"
"Male","42"
"","83"
