"Population by disability type","Number"
"Blind/low vision",""
"Female","43"
"Male","36"
"","79"
"Deaf/hard of hearing",""
"Female","62"
"Male","54"
"","116"
"Deaf-Blind",""
"Female","12"
"Male","9"
"","21"
"Intellectual disable",""
"Female","17"
"Male","22"
"","39"
"Mental disable",""
"Female","28"
"Male","55"
"","83"
"Multiple disable",""
"Female","26"
"Male","24"
"","50"
"No disability",""
"Female","39252"
"Male","38518"
"","77770"
"Physical",""
"Female","121"
"Male","133"
"","254"
"Speech problem",""
"Female","30"
"Male","48"
"","78"
