"Population by Educational Attainment","Number"
"Beginners",""
"Female","858"
"Male","986"
"","1844"
"Graduate and Equivalent",""
"Female","1509"
"Male","2633"
"","4142"
"Intermediate and Equivalent",""
"Female","3539"
"Male","4361"
"","7900"
"Level not Stated",""
"Female","114"
"Male","124"
"","238"
"Lower Secondary (Class 6-8)",""
"Female","4685"
"Male","5504"
"","10189"
"Non Formal Education",""
"Female","1314"
"Male","962"
"","2276"
"Others",""
"Female","24"
"Male","32"
"","56"
"Post Graduate Equivalent and Above",""
"Female","438"
"Male","1146"
"","1584"
"Primary Education (1-5 Class)",""
"Female","6592"
"Male","7140"
"","13732"
"Secondary Level (Class 9-10)",""
"Female","3532"
"Male","4455"
"","7987"
"SLC and Equivalent",""
"Female","4364"
"Male","5594"
"","9958"
