"Population by disability type","Number"
"Blind/low vision",""
"Female","51"
"Male","34"
"","85"
"Deaf/hard of hearing",""
"Female","52"
"Male","65"
"","117"
"Deaf-Blind",""
"Female","8"
"Male","6"
"","14"
"Intellectual disable",""
"Female","9"
"Male","9"
"","18"
"Mental disable",""
"Female","10"
"Male","9"
"","19"
"Multiple disable",""
"Female","50"
"Male","64"
"","114"
"No disability",""
"Female","9619"
"Male","7983"
"","17602"
"Physical",""
"Female","73"
"Male","103"
"","176"
"Speech problem",""
"Female","43"
"Male","64"
"","107"
