"Population by disability type","Number"
"Blind/low vision",""
"Female","67"
"Male","57"
"","124"
"Deaf/hard of hearing",""
"Female","46"
"Male","51"
"","97"
"Deaf-Blind",""
"Female","3"
"Male","6"
"","9"
"Intellectual disable",""
"Female","8"
"Male","9"
"","17"
"Mental disable",""
"Female","13"
"Male","9"
"","22"
"Multiple disable",""
"Female","16"
"Male","22"
"","38"
"No disability",""
"Female","7245"
"Male","7382"
"","14627"
"Physical",""
"Female","114"
"Male","175"
"","289"
"Speech problem",""
"Female","28"
"Male","52"
"","80"
