"Population by disability type","Number"
"Blind/low vision",""
"Female","40"
"Male","29"
"","69"
"Deaf/hard of hearing",""
"Female","24"
"Male","23"
"","47"
"Deaf-Blind",""
"Female","8"
"Male","3"
"","11"
"Intellectual disable",""
"Female","3"
"Male","8"
"","11"
"Mental disable",""
"Female","9"
"Male","12"
"","21"
"Multiple disable",""
"Female","25"
"Male","21"
"","46"
"No disability",""
"Female","8530"
"Male","7210"
"","15740"
"Physical",""
"Female","52"
"Male","80"
"","132"
"Speech problem",""
"Female","26"
"Male","15"
"","41"
