"Population by Educational Attainment","Number"
"Beginners",""
"Female","440"
"Male","471"
"","911"
"Graduate and Equivalent",""
"Female","11"
"Male","46"
"","57"
"Intermediate and Equivalent",""
"Female","116"
"Male","210"
"","326"
"Level not Stated",""
"Female","15"
"Male","25"
"","40"
"Lower Secondary (Class 6-8)",""
"Female","1306"
"Male","1560"
"","2866"
"Non Formal Education",""
"Female","236"
"Male","153"
"","389"
"Others",""
"Female","7"
"Male","5"
"","12"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","10"
"","12"
"Primary Education (1-5 Class)",""
"Female","3312"
"Male","4095"
"","7407"
"Secondary Level (Class 9-10)",""
"Female","391"
"Male","604"
"","995"
"SLC and Equivalent",""
"Female","220"
"Male","444"
"","664"
