"Population by disability type","Number"
"Blind/low vision",""
"Female","39"
"Male","45"
"","84"
"Deaf/hard of hearing",""
"Female","44"
"Male","51"
"","95"
"Deaf-Blind",""
"Female","2"
"Male","8"
"","10"
"Intellectual disable",""
"Female","5"
"Male","6"
"","11"
"Mental disable",""
"Female","13"
"Male","12"
"","25"
"Multiple disable",""
"Female","34"
"Male","31"
"","65"
"No disability",""
"Female","11443"
"Male","10961"
"","22404"
"Physical",""
"Female","99"
"Male","154"
"","253"
"Speech problem",""
"Female","26"
"Male","32"
"","58"
