"Population by disability type","Number"
"Blind/low vision",""
"Female","282"
"Male","235"
"","517"
"Deaf/hard of hearing",""
"Female","188"
"Male","205"
"","393"
"Deaf-Blind",""
"Female","20"
"Male","17"
"","37"
"Intellectual disable",""
"Female","22"
"Male","30"
"","52"
"Mental disable",""
"Female","90"
"Male","88"
"","178"
"Multiple disable",""
"Female","113"
"Male","96"
"","209"
"No disability",""
"Female","53130"
"Male","45080"
"","98210"
"Physical",""
"Female","422"
"Male","554"
"","976"
"Speech problem",""
"Female","114"
"Male","147"
"","261"
