"Population by disability type","Number"
"Blind/low vision",""
"Female","66"
"Male","46"
"","112"
"Deaf/hard of hearing",""
"Female","117"
"Male","84"
"","201"
"Deaf-Blind",""
"Female","11"
"Male","12"
"","23"
"Intellectual disable",""
"Female","28"
"Male","44"
"","72"
"Mental disable",""
"Female","28"
"Male","26"
"","54"
"Multiple disable",""
"Female","42"
"Male","46"
"","88"
"No disability",""
"Female","25922"
"Male","21496"
"","47418"
"Physical",""
"Female","184"
"Male","218"
"","402"
"Speech problem",""
"Female","94"
"Male","110"
"","204"
