"Population by Caste Ethinicity","Number"
"Badi",""
"Female","9"
"Male","8"
"","17"
"Bote",""
"Female","10"
"Male","13"
"","23"
"Brahman - Hill",""
"Female","2436"
"Male","1984"
"","4420"
"Chamar/ Harijan/ Ram",""
"Female","7"
"Male","4"
"","11"
"Chhetri",""
"Female","2827"
"Male","2399"
"","5226"
"Dalit Others",""
"Female","76"
"Male","76"
"","152"
"Damai/Dholi",""
"Female","287"
"Male","245"
"","532"
"Dhobi",""
"Female","5"
"Male","12"
"","17"
"Gaine",""
"Female","8"
"Male","8"
"","16"
"Gurung",""
"Female","32"
"Male","34"
"","66"
"Halwai",""
"Female","20"
"Male","23"
"","43"
"Kalwar",""
"Female","24"
"Male","29"
"","53"
"Kami",""
"Female","565"
"Male","454"
"","1019"
"Kathabaniyan",""
"Female","85"
"Male","99"
"","184"
"Kayastha",""
"Female","6"
"Male","9"
"","15"
"Kumal",""
"Female","835"
"Male","875"
"","1710"
"Kurmi",""
"Female","4"
"Male","7"
"","11"
"Kusunda",""
"Female","47"
"Male","45"
"","92"
"Magar",""
"Female","1628"
"Male","1365"
"","2993"
"Majhi",""
"Female","32"
"Male","37"
"","69"
"Mallaha",""
"Female","7"
"Male","4"
"","11"
"Marwadi",""
"Female","6"
"Male","10"
"","16"
"Musalman",""
"Female","257"
"Male","271"
"","528"
"Newar",""
"Female","173"
"Male","144"
"","317"
"Others",""
"Female","38"
"Male","36"
"","74"
"Rai",""
"Female","35"
"Male","27"
"","62"
"Sanyasi/Dasnami",""
"Female","266"
"Male","253"
"","519"
"Sarki",""
"Female","131"
"Male","128"
"","259"
"Tamang",""
"Female","19"
"Male","25"
"","44"
"Terai Others",""
"Female","15"
"Male","12"
"","27"
"Thakuri",""
"Female","221"
"Male","193"
"","414"
"Tharu",""
"Female","14568"
"Male","13970"
"","28538"
"Yadav",""
"Female","78"
"Male","99"
"","177"
