"Population by disability type","Number"
"Blind/low vision",""
"Female","106"
"Male","116"
"","222"
"Deaf/hard of hearing",""
"Female","83"
"Male","88"
"","171"
"Deaf-Blind",""
"Female","10"
"Male","14"
"","24"
"Intellectual disable",""
"Female","17"
"Male","11"
"","28"
"Mental disable",""
"Female","25"
"Male","21"
"","46"
"Multiple disable",""
"Female","30"
"Male","40"
"","70"
"No disability",""
"Female","24300"
"Male","22358"
"","46658"
"Physical",""
"Female","159"
"Male","201"
"","360"
"Speech problem",""
"Female","27"
"Male","49"
"","76"
