"Population by Educational Attainment","Number"
"Beginners",""
"Female","6101"
"Male","7316"
"Graduate and Equivalent",""
"Female","1453"
"Male","3163"
"Intermediate and Equivalent",""
"Female","4462"
"Male","7713"
"Level not Stated",""
"Female","615"
"Male","626"
"Lower Secondary (Class 6-8)",""
"Female","22394"
"Male","36234"
"Non Formal Education",""
"Female","2408"
"Male","2407"
"Others",""
"Female","445"
"Male","287"
"Post Graduate Equivalent and Above",""
"Female","290"
"Male","1042"
"Primary Education (1-5 Class)",""
"Female","62882"
"Male","79645"
"Secondary Level (Class 9-10)",""
"Female","9790"
"Male","17794"
"SLC and Equivalent",""
"Female","8961"
"Male","11945"
