"Population by disability type","Number"
"Blind/low vision",""
"Female","27"
"Male","26"
"","53"
"Deaf/hard of hearing",""
"Female","24"
"Male","30"
"","54"
"Deaf-Blind",""
"Female","2"
"Male","6"
"","8"
"Intellectual disable",""
"Female","1"
"Male","1"
"","2"
"Mental disable",""
"Female","9"
"Male","6"
"","15"
"Multiple disable",""
"Female","1"
"Male","6"
"","7"
"No disability",""
"Female","3990"
"Male","4037"
"","8027"
"Physical",""
"Female","66"
"Male","70"
"","136"
"Speech problem",""
"Female","8"
"Male","13"
"","21"
