"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","63"
"","112"
"Deaf/hard of hearing",""
"Female","40"
"Male","54"
"","94"
"Deaf-Blind",""
"Female","7"
"Male","12"
"","19"
"Intellectual disable",""
"Female","8"
"Male","7"
"","15"
"Mental disable",""
"Female","16"
"Male","27"
"","43"
"Multiple disable",""
"Female","12"
"Male","13"
"","25"
"No disability",""
"Female","20336"
"Male","20539"
"","40875"
"Physical",""
"Female","61"
"Male","116"
"","177"
"Speech problem",""
"Female","38"
"Male","37"
"","75"
