"Population by disability type","Number"
"Blind/low vision",""
"Female","37"
"Male","46"
"","83"
"Deaf/hard of hearing",""
"Female","31"
"Male","35"
"","66"
"Deaf-Blind",""
"Female","4"
"Male","6"
"","10"
"Intellectual disable",""
"Female","10"
"Male","6"
"","16"
"Mental disable",""
"Female","5"
"Male","14"
"","19"
"Multiple disable",""
"Female","29"
"Male","24"
"","53"
"No disability",""
"Female","8142"
"Male","6987"
"","15129"
"Physical",""
"Female","69"
"Male","89"
"","158"
"Speech problem",""
"Female","15"
"Male","32"
"","47"
