"Population by disability type","Number"
"Blind/low vision",""
"Female","276"
"Male","243"
"","519"
"Deaf/hard of hearing",""
"Female","70"
"Male","72"
"","142"
"Deaf-Blind",""
"Female","12"
"Male","23"
"","35"
"Intellectual disable",""
"Female","8"
"Male","6"
"","14"
"Mental disable",""
"Female","10"
"Male","22"
"","32"
"Multiple disable",""
"Female","19"
"Male","25"
"","44"
"No disability",""
"Female","12756"
"Male","13151"
"","25907"
"Physical",""
"Female","159"
"Male","228"
"","387"
"Speech problem",""
"Female","42"
"Male","69"
"","111"
