"Population by disability type","Number"
"Blind/low vision",""
"Female","69"
"Male","61"
"","130"
"Deaf/hard of hearing",""
"Female","49"
"Male","47"
"","96"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","3"
"Male","12"
"","15"
"Mental disable",""
"Female","1"
"Male","2"
"","3"
"Multiple disable",""
"Female","12"
"Male","14"
"","26"
"No disability",""
"Female","9534"
"Male","8714"
"","18248"
"Physical",""
"Female","100"
"Male","123"
"","223"
"Speech problem",""
"Female","12"
"Male","19"
"","31"
