"Population by disability type","Number"
"Blind/low vision",""
"Female","53"
"Male","56"
"","109"
"Deaf/hard of hearing",""
"Female","20"
"Male","39"
"","59"
"Deaf-Blind",""
"Female","4"
"Male","7"
"","11"
"Intellectual disable",""
"Female","11"
"Male","13"
"","24"
"Mental disable",""
"Female","7"
"Male","12"
"","19"
"Multiple disable",""
"Female","13"
"Male","19"
"","32"
"No disability",""
"Female","21384"
"Male","23371"
"","44755"
"Physical",""
"Female","47"
"Male","110"
"","157"
"Speech problem",""
"Female","8"
"Male","20"
"","28"
