"Population by disability type","Number"
"Blind/low vision",""
"Female","123"
"Male","164"
"","287"
"Deaf/hard of hearing",""
"Female","70"
"Male","65"
"","135"
"Deaf-Blind",""
"Female","2"
"Male","14"
"","16"
"Intellectual disable",""
"Female","9"
"Male","12"
"","21"
"Mental disable",""
"Female","47"
"Male","54"
"","101"
"Multiple disable",""
"Female","91"
"Male","55"
"","146"
"No disability",""
"Female","42283"
"Male","39030"
"","81313"
"Physical",""
"Female","167"
"Male","253"
"","420"
"Speech problem",""
"Female","33"
"Male","59"
"","92"
