"Population by disability type","Number"
"Blind/low vision",""
"Female","35"
"Male","34"
"","69"
"Deaf/hard of hearing",""
"Female","23"
"Male","30"
"","53"
"Deaf-Blind",""
"Female","4"
"Male","3"
"","7"
"Intellectual disable",""
"Female","12"
"Male","25"
"","37"
"Mental disable",""
"Female","10"
"Male","11"
"","21"
"Multiple disable",""
"Female","17"
"Male","21"
"","38"
"No disability",""
"Female","13070"
"Male","12067"
"","25137"
"Physical",""
"Female","103"
"Male","116"
"","219"
"Speech problem",""
"Female","39"
"Male","35"
"","74"
