"Population by disability type","Number"
"Blind/low vision",""
"Female","109"
"Male","122"
"","231"
"Deaf/hard of hearing",""
"Female","72"
"Male","77"
"","149"
"Deaf-Blind",""
"Female","11"
"Male","13"
"","24"
"Intellectual disable",""
"Female","12"
"Male","9"
"","21"
"Mental disable",""
"Female","32"
"Male","30"
"","62"
"Multiple disable",""
"Female","36"
"Male","35"
"","71"
"No disability",""
"Female","27601"
"Male","24891"
"","52492"
"Physical",""
"Female","154"
"Male","228"
"","382"
"Speech problem",""
"Female","60"
"Male","52"
"","112"
