"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","30"
"Male","34"
"Badi",""
"Female","6"
"Male","7"
"Bangali",""
"Female","29"
"Male","54"
"Bantar/Sardar",""
"Female","1807"
"Male","1861"
"Baraee",""
"Female","16"
"Male","10"
"Bhote",""
"Female","5"
"Male","7"
"Bin",""
"Female","120"
"Male","117"
"Brahman - Hill",""
"Female","2442"
"Male","2221"
"Brahman - Tarai",""
"Female","54"
"Male","78"
"Byasi/Sauka",""
"Female","6"
"Male","9"
"Chamar/ Harijan/ Ram",""
"Female","164"
"Male","165"
"Chamling",""
"Female","14"
"Male","12"
"Chhetri",""
"Female","1729"
"Male","1547"
"Damai/Dholi",""
"Female","70"
"Male","72"
"Danuwar",""
"Female","5"
"Male","9"
"Dhanuk",""
"Female","38"
"Male","57"
"Dhobi",""
"Female","10"
"Male","11"
"Dom",""
"Female","16"
"Male","11"
"Dusadh/ Pasawan/ Pasi",""
"Female","265"
"Male","259"
"Foreigner",""
"Female","29"
"Male","39"
"Gharti/Bhujel",""
"Female","29"
"Male","25"
"Gurung",""
"Female","41"
"Male","28"
"Hajam/Thakur",""
"Female","111"
"Male","126"
"Halwai",""
"Female","163"
"Male","198"
"Jhangad/ Dhagar",""
"Female","414"
"Male","442"
"Kalwar",""
"Female","9"
"Male","16"
"Kami",""
"Female","162"
"Male","156"
"Kathabaniyan",""
"Female","37"
"Male","44"
"Kayastha",""
"Female","72"
"Male","121"
"Kewat",""
"Female","36"
"Male","30"
"Khatwe",""
"Female","175"
"Male","173"
"Khawas",""
"Female","979"
"Male","962"
"Koiri/Kushwaha",""
"Female","46"
"Male","64"
"Kumal",""
"Female","81"
"Male","64"
"Kurmi",""
"Female","12"
"Male","22"
"Limbu",""
"Female","219"
"Male","200"
"Magar",""
"Female","364"
"Male","345"
"Majhi",""
"Female","91"
"Male","98"
"Mali",""
"Female","16"
"Male","21"
"Mallaha",""
"Female","46"
"Male","63"
"Marwadi",""
"Female","21"
"Male","26"
"Musahar",""
"Female","1744"
"Male","1778"
"Musalman",""
"Female","1135"
"Male","1164"
"Newar",""
"Female","261"
"Male","252"
"Nuniya",""
"Female","6"
"Male","14"
"Nurang",""
"Female","15"
"Male","17"
"Others",""
"Female","70"
"Male","103"
"Pattharkatta/ Kushwadiya",""
"Female","8"
"Male","5"
"Rai",""
"Female","218"
"Male","202"
"Rajbansi",""
"Female","1067"
"Male","1018"
"Rajput",""
"Female","62"
"Male","186"
"Sanyasi/Dasnami",""
"Female","54"
"Male","37"
"Sarki",""
"Female","36"
"Male","29"
"Satar/ Santhal",""
"Female","14"
"Male","12"
"Sherpa",""
"Female","21"
"Male","27"
"Sonar",""
"Female","6"
"Male","15"
"Sudhi",""
"Female","14"
"Male","12"
"Tamang",""
"Female","108"
"Male","131"
"Tatma/Tatwa",""
"Female","6"
"Male","5"
"Teli",""
"Female","271"
"Male","303"
"Terai Others",""
"Female","76"
"Male","84"
"Thakuri",""
"Female","7"
"Male","9"
"Tharu",""
"Female","5325"
"Male","4960"
"Undefined Others",""
"Female","58"
"Male","65"
"Yadav",""
"Female","301"
"Male","479"
"Yakkha",""
"Female","7"
"Male","6"
