"Population by disability type","Number"
"Blind/low vision",""
"Female","59"
"Male","59"
"","118"
"Deaf/hard of hearing",""
"Female","58"
"Male","65"
"","123"
"Deaf-Blind",""
"Female","4"
"Male","7"
"","11"
"Intellectual disable",""
"Female","6"
"Male","3"
"","9"
"Mental disable",""
"Female","9"
"Male","7"
"","16"
"Multiple disable",""
"Female","9"
"Male","21"
"","30"
"No disability",""
"Female","5816"
"Male","5924"
"","11740"
"Physical",""
"Female","98"
"Male","143"
"","241"
"Speech problem",""
"Female","24"
"Male","31"
"","55"
