"Population by Educational Attainment","Number"
"Beginners",""
"Female","118"
"Male","127"
"","245"
"Graduate and Equivalent",""
"Female","5"
"Male","30"
"","35"
"Intermediate and Equivalent",""
"Female","55"
"Male","216"
"","271"
"Level not Stated",""
"Female","4"
"Male","5"
"","9"
"Lower Secondary (Class 6-8)",""
"Female","417"
"Male","719"
"","1136"
"Non Formal Education",""
"Female","123"
"Male","142"
"","265"
"Others",""
"Female","0"
"Male","2"
"","2"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","5"
"","5"
"Primary Education (1-5 Class)",""
"Female","1504"
"Male","1701"
"","3205"
"Secondary Level (Class 9-10)",""
"Female","158"
"Male","370"
"","528"
"SLC and Equivalent",""
"Female","105"
"Male","295"
"","400"
