"Population by disability type","Number"
"Blind/low vision",""
"Female","68"
"Male","85"
"","153"
"Deaf/hard of hearing",""
"Female","48"
"Male","69"
"","117"
"Deaf-Blind",""
"Female","5"
"Male","6"
"","11"
"Intellectual disable",""
"Female","3"
"Male","6"
"","9"
"Mental disable",""
"Female","12"
"Male","12"
"","24"
"Multiple disable",""
"Female","11"
"Male","23"
"","34"
"No disability",""
"Female","9199"
"Male","8955"
"","18154"
"Physical",""
"Female","144"
"Male","201"
"","345"
"Speech problem",""
"Female","17"
"Male","32"
"","49"
