"Population by disability type","Number"
"Blind/low vision",""
"Female","68"
"Male","41"
"","109"
"Deaf/hard of hearing",""
"Female","68"
"Male","71"
"","139"
"Deaf-Blind",""
"Female","8"
"Male","2"
"","10"
"Intellectual disable",""
"Female","5"
"Male","8"
"","13"
"Mental disable",""
"Female","22"
"Male","12"
"","34"
"Multiple disable",""
"Female","15"
"Male","31"
"","46"
"No disability",""
"Female","11170"
"Male","8928"
"","20098"
"Physical",""
"Female","118"
"Male","155"
"","273"
"Speech problem",""
"Female","25"
"Male","31"
"","56"
