"Population by Educational Attainment","Number"
"Beginners",""
"Female","87"
"Male","68"
"","155"
"Graduate and Equivalent",""
"Female","12"
"Male","38"
"","50"
"Intermediate and Equivalent",""
"Female","72"
"Male","108"
"","180"
"Level not Stated",""
"Female","46"
"Male","68"
"","114"
"Lower Secondary (Class 6-8)",""
"Female","812"
"Male","818"
"","1630"
"Non Formal Education",""
"Female","60"
"Male","75"
"","135"
"Others",""
"Female","0"
"Male","1"
"","1"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","7"
"","10"
"Primary Education (1-5 Class)",""
"Female","1675"
"Male","1972"
"","3647"
"Secondary Level (Class 9-10)",""
"Female","385"
"Male","495"
"","880"
"SLC and Equivalent",""
"Female","205"
"Male","273"
"","478"
