"Population by disability type","Number"
"Blind/low vision",""
"Female","34"
"Male","18"
"","52"
"Deaf/hard of hearing",""
"Female","22"
"Male","23"
"","45"
"Deaf-Blind",""
"Female","4"
"Male","2"
"","6"
"Intellectual disable",""
"Female","6"
"Male","7"
"","13"
"Mental disable",""
"Female","8"
"Male","12"
"","20"
"Multiple disable",""
"Female","28"
"Male","32"
"","60"
"No disability",""
"Female","5964"
"Male","5695"
"","11659"
"Physical",""
"Female","54"
"Male","79"
"","133"
"Speech problem",""
"Female","17"
"Male","12"
"","29"
