"Population by disability type","Number"
"Blind/low vision",""
"Female","53"
"Male","40"
"","93"
"Deaf/hard of hearing",""
"Female","46"
"Male","38"
"","84"
"Deaf-Blind",""
"Female","5"
"Male","2"
"","7"
"Intellectual disable",""
"Female","11"
"Male","13"
"","24"
"Mental disable",""
"Female","25"
"Male","24"
"","49"
"Multiple disable",""
"Female","15"
"Male","13"
"","28"
"No disability",""
"Female","14716"
"Male","10715"
"","25431"
"Physical",""
"Female","111"
"Male","174"
"","285"
"Speech problem",""
"Female","44"
"Male","38"
"","82"
